question_id,source,question,gold_answer,candidate_answer,label,core_correct,core_correct_signal,core_grounded,core_grounded_signal,num_extra_claims,human_verdict_agrees
5ab55435554299488d4d9939,paraphrase_concise,Robinson's Onion grows in Ferry County in a specific state; what is the capital of that state?,Olympia,Olympia is the capital of Washington.,UNSUPPORTED,True,containment,False,llm_judge_supported,0,
5ae49b0c5542995ad6573dbb,gold,When was the director of King of the Dancehall born?,"October 8, 1980","October 8, 1980",SUPPORTED,True,containment,True,entity_coverage=1.00,0,
5aba84e455429901930fa7f8,stage1,"Queen of the Netherlands is a Dutch Trailing suction hopper dredger ship, constructed in 1998, the vessel has been used in high-profile salvage and dredging operations including the investigation into which scheduled international passenger flight from New York City, United States, to Geneva, Switzerland, the flight was also a codeshare flight with Delta Air Lines?",Swissair Flight 111,The Queen of the Netherlands was involved in the investigation into Swissair,UNSUPPORTED,False,llm_equivalence,True,entity_coverage=1.00,0,
5ae3356c5542994393b9e649,unsupported_additional_clause,"Which list did ""Fires of Winter"" reach?","""New York Times"" bestseller","""New York Times"" bestseller, related to 2013 Colorado wildfires",PARTIAL,True,exact_match,True,entity_coverage=1.00,1,
5ae321e05542994393b9e61b,stage1,Walt Housman attended which public secondary school that holds 1400 students?,Merrimack High School,"Walt Housman attended Eastview Secondary School, a public secondary school with an",UNSUPPORTED,False,"embedding_sim=0.54,token_f1=0.22",True,entity_coverage=0.80,1,
5ae1419055429901ffe4ae2d,plausible_person_swap,What Governor resided over the nuclear waste area located on federal land?,"Robert Frank ""Bob"" List",Waste Repository,UNSUPPORTED,False,"embedding_sim=0.49,token_f1=0.00",True,verbatim_span_supporting_title,0,
5a860d1d55429960ec39b615,unsupported_additional_clause,What date did Bagsecg die?,8 January 871,"8 January 871, related to Fino + Bleed",PARTIAL,True,exact_match,True,verbatim_span_supporting_title,1,
5a89be64554299669944a58f,unsupported_additional_clause,The Black Candle is a documentary film about a celebration created by who?,Maulana Karenga,"Maulana Karenga, related to Midnight Ramble (film)",SUPPORTED,True,exact_match,True,verbatim_span_supporting_title,1,
5ac28a21554299677310256e,gold,"The character portrayed in ""Giuliani Time"" is a real-life informal adviser to the White House in which area?",cybersecurity,cybersecurity,SUPPORTED,True,exact_match,True,verbatim_span_supporting_title,0,
5ac4c2255542997ea680cab9,plausible_location_swap,Marguerite Coppin was a pioneer in women's rights along with the activist and suffragette leader of what nationality?,British,Dominican Republic,UNSUPPORTED,False,"embedding_sim=0.49,token_f1=0.00",True,verbatim_span_other_title,0,
5a7262335542990c210a4115,stage1,"Who was born first, Franco Malerba or Wubbo Ockels?",Wubbo Johannes Ockels,"Wubbo Ockels was born on March 28, 1946, which is before Franco",UNSUPPORTED,False,llm_equivalence,True,entity_coverage=1.00,1,
